OrderID,OrderDate,CustomerID,Product,Category,Region,Channel,Quantity,UnitPrice,Revenue
104764,2025-04-04,CUST00898,Trimmer,Beauty & Personal Care,East,Retail Store,1,849.15,849.15
102924,2024-10-24,CUST01790,Cotton T-Shirt,Fashion,North,Retail Store,1,599.0,599.0
102517,2024-09-24,CUST02046,Running Shoes,Fashion,East,Online,1,2499.0,2499.0
102986,2024-10-27,CUST01675,Electric Kettle,Home & Kitchen,East,Online,1,899.0,899.0
100101,2024-01-12,CUST02552,Hair Dryer,Beauty & Personal Care,East,Online,1,1019.15,1019.15
106503,2025-10-02,CUST02032,Denim Jacket,Fashion,North,Marketplace,2,1699.15,3398.3
105660,2025-07-11,CUST00385,Running Shoes,Fashion,North,Marketplace,1,2499.0,2499.0
105853,2025-07-30,CUST00705,Water Bottle,Sports & Fitness,East,Marketplace,0,349.0,349.0
104059,2025-01-21,CUST00305,Cotton T-Shirt,Fashion,North,Marketplace,1,599.0,599.0
104802,2025-04-07,CUST00383,Power Bank,Electronics,North,Retail Store,1,899.0,899.0
105677,2025-07-12,CUST02471,Blender,Home & Kitchen,North,Retail Store,1,1279.2,1279.2
106192,2025-09-02,CUST02284,USB-C Cable,Electronics,West,Online,1,249.0,249.0
106546,2025-10-04,CUST02552,Smartwatch,Electronics,West,Online,1,2999.0,2999.0
106748,2025-10-19,CUST00977,Trimmer,Beauty & Personal Care,North,Online,2,849.15,1698.3
107100,2025-11-11,CUST00143,Face Serum,Beauty & Personal Care,West,Online,1,699.0,699.0
106895,2025-10-28,CUST01837,Electric Kettle,Home & Kitchen,North,Online,2,764.15,1528.3
104621,2025-03-21,CUST00674,Smartwatch,Electronics,South,Online,1,2699.1,2699.1
104291,2025-02-14,CUST01659,Water Bottle,Sports & Fitness,North,Retail Store,2,314.1,628.2
105638,2025-07-08,CUST00565,Smartwatch,Electronics,South,Marketplace,2,2699.1,5398.2
105760,2025-07-20,CUST01066,Storage Containers,Home & Kitchen,East,Online,1,499.0,499.0
106941,2025-10-31,CUST00193,Water Bottle,Sports & Fitness,North,Online,1,349.0,349.0
102127,2024-08-18,CUST02511,Trimmer,Beauty & Personal Care,South,Marketplace,1,999.0,999.0
104951,2025-04-23,CUST00884,Trimmer,Beauty & Personal Care,Central,Retail Store,1,849.15,849.15
105671,2025-07-12,CUST00724,Running Shoes,Fashion,South,Online,1,1999.2,1999.2
102769,2024-10-12,CUST00833,USB-C Cable,Electronics,East,Online,1,249.0,249.0
101512,2024-06-11,CUST01056,Yoga Mat,Sports & Fitness,South,Retail Store,1,509.15,509.15
107646,2025-12-21,CUST00829,Hair Dryer,Beauty & Personal Care,North,Marketplace,1,1199.0,1199.0
104509,2025-03-10,CUST01357,Electric Kettle,Home & Kitchen,South,Online,1,899.0,899.0
